gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BnaC07G0378700WE,56.2638156,-1.325483666,0.308436928,-4.297422079,1.73E-05,0.001565316
BnaC07G0379400WE,215.2479294,-0.589185716,0.121232195,-4.859977285,1.17E-06,0.00018998
BnaC07G0382100WE,161.5749697,1.418955778,0.213050735,6.660177813,2.73E-11,1.96E-08
BnaC07G0395600WE,10.74563581,-2.564342079,0.707387806,-3.625086634,0.000288865,0.011992584
BnaC07G0395900WE,94.25403964,-0.756966785,0.229071417,-3.304501255,0.000951455,0.026452993
BnaC07G0399400WE,491.6686317,-0.709725842,0.231823281,-3.061495116,0.002202346,0.046342357
BnaC07G0409700WE,227.4035594,0.54324812,0.161310537,3.367716277,0.000757936,0.022820583
BnaC07G0418800WE,241.2662414,-1.091307157,0.250356678,-4.359009583,1.31E-05,0.001310762
BnaC07G0434000WE,7.268989841,5.332089968,1.431030092,3.726050206,0.000194504,0.00895728
BnaC07G0436700WE,184.4954297,-0.573679829,0.170120851,-3.372189971,0.00074573,0.022583173
BnaC07G0439300WE,133.7596735,0.579816928,0.164098601,3.533344739,0.000410337,0.015298079
BnaC07G0439500WE,460.842657,-0.579499007,0.130797722,-4.430497696,9.40E-06,0.001009775
BnaC07G0458000WE,60.10057833,-1.072652531,0.263810114,-4.066002297,4.78E-05,0.003280632
BnaC07G0458900WE,67.12534636,0.808200309,0.230348594,3.508596668,0.000450477,0.016249181
BnaC07G0474700WE,33.31893388,1.045373852,0.306309077,3.412807294,0.000642974,0.020719854
BnaC07G0484000WE,47.93929492,-0.903229081,0.280835951,-3.216216003,0.00129893,0.032516181
BnaC08G0006700WE,82.88339344,-0.678426817,0.175201131,-3.872274177,0.000107825,0.005945023
BnaC08G0010500WE,87.51550031,-0.995887006,0.233417342,-4.266551058,1.99E-05,0.001743923
BnaC08G0017100WE,705.7564563,-0.706759803,0.156717507,-4.509769322,6.49E-06,0.000748574
BnaC08G0017600WE,730.53517,-0.814790649,0.171939002,-4.738835524,2.15E-06,0.000325658
BnaC08G0039500WE,4725.814771,-0.515274583,0.098573587,-5.227308826,1.72E-07,3.93E-05
BnaC08G0039900WE,90.46366074,0.678121304,0.205367968,3.301981859,0.000960043,0.026578642
BnaC08G0050600WE,320.4358282,0.537026559,0.149112744,3.601479957,0.000316411,0.012771025
BnaC08G0066000WE,51.23017791,-1.158120414,0.301919392,-3.835859649,0.000125126,0.006626346
BnaC08G0070600WE,80.99652489,3.191108796,0.36347603,8.779420193,1.64E-18,3.07E-15
BnaC08G0079200WE,386.8130896,0.849026757,0.114243915,7.431702235,1.07E-13,1.06E-10
BnaC08G0080700WE,67.30104572,-1.786692317,0.470288264,-3.799142894,0.000145197,0.007311485
BnaC08G0083600WE,17.8913698,-1.950236371,0.379489076,-5.139110708,2.76E-07,5.83E-05
BnaC08G0086200WE,5.930751937,4.411150641,1.173106704,3.760229677,0.000169757,0.008140414
BnaC08G0092500WE,87.35033678,-0.706892542,0.196590038,-3.595769911,0.000323434,0.012964379
BnaC08G0096400WE,70.84180885,0.695080056,0.203087757,3.422560113,0.000620344,0.020303538
BnaC08G0103300WE,41.46356921,0.938612249,0.28858743,3.252436358,0.001144202,0.029914859
BnaC08G0109500WE,292.5075581,-0.516982528,0.112123719,-4.610822154,4.01E-06,0.000525414
BnaC08G0109900WE,102.5028807,-0.569264295,0.180459238,-3.154531195,0.001607562,0.037595371
BnaC08G0121600WE,14.04267171,-1.960593507,0.604466875,-3.243508599,0.001180672,0.030505472
BnaC08G0131800WE,22.8486811,-1.272286723,0.388064092,-3.278547927,0.001043426,0.028069406
BnaC08G0136000WE,489.2846331,0.886002169,0.102857393,8.613889035,7.06E-18,1.15E-14
BnaC08G0142400WE,900.3889386,-0.920148718,0.174040818,-5.286970767,1.24E-07,3.04E-05
BnaC08G0143200WE,12.59509047,-3.179690779,0.842695576,-3.773237771,0.000161143,0.007844111
BnaC08G0146600WE,69.19743925,0.88338107,0.291191476,3.033677637,0.002415924,0.049320218
BnaC08G0146900WE,855.2857048,-0.774170491,0.096032636,-8.061535394,7.53E-16,1.01E-12
BnaC08G0153100WE,182.3895177,0.581119119,0.152808564,3.802922455,0.000142999,0.007221663
BnaC08G0156600WE,23.15793435,-1.713273845,0.482617065,-3.549965325,0.000385282,0.014671904
BnaC08G0158000WE,129.3036216,0.645801597,0.184818893,3.494240157,0.000475413,0.016835616
BnaC08G0169500WE,5955.899433,-0.68415924,0.185091262,-3.696334614,0.000218735,0.00979695
BnaC08G0182500WE,1611.180296,-0.791587215,0.123380212,-6.415836053,1.40E-10,8.51E-08
BnaC08G0191000WE,111.2310304,1.52947223,0.235971269,6.481603622,9.08E-11,5.78E-08
BnaC08G0193100WE,88.07138283,0.612071164,0.196102663,3.121177215,0.001801296,0.040726985
BnaC08G0196400WE,86.24768975,-1.046527527,0.305722682,-3.423126863,0.000619052,0.020289889
BnaC08G0199700WE,409.8413593,-0.543533003,0.111738509,-4.864330195,1.15E-06,0.000188237
BnaC08G0204100WE,9.707158797,-1.785912111,0.52313948,-3.413835469,0.000640552,0.020654557
BnaC08G0204400WE,922.0529277,0.516283319,0.103631654,4.981907553,6.30E-07,0.000113871
BnaC08G0209900WE,510.7236451,-0.715222293,0.121890496,-5.867744556,4.42E-09,1.70E-06
BnaC08G0210500WE,517.41344,-1.380309212,0.356321238,-3.873777545,0.000107161,0.005927207
BnaC08G0216400WE,2485.231468,-0.654706622,0.08356838,-7.834382154,4.71E-15,5.73E-12
BnaC08G0217200WE,38.04660997,1.563764827,0.493718323,3.167321841,0.001538499,0.036469764
BnaC08G0217800WE,128.9573732,0.54774983,0.147716968,3.708103654,0.000208817,0.009449927
BnaC08G0220300WE,138.0545905,-0.577803724,0.181788802,-3.17843408,0.001480729,0.035446863
BnaC08G0220400WE,78.11923823,1.524578245,0.382636763,3.984400851,6.77E-05,0.004270566
BnaC08G0223700WE,7.139091795,2.817566974,0.902302856,3.122639984,0.001792368,0.04062676
BnaC08G0244800WE,6.359130548,-4.396006548,1.052156114,-4.178093432,2.94E-05,0.002307079
BnaC08G0264800WE,41.07554782,-1.720588067,0.450729485,-3.817340834,0.000134898,0.006939932
BnaC08G0269800WE,104.7710618,0.663702438,0.219392438,3.025183747,0.002484821,0.049915111
BnaC08G0273600WE,234.4922165,0.567633216,0.130445244,4.351505645,1.35E-05,0.00134355
BnaC08G0274100WE,65.98807944,-0.76777541,0.252417496,-3.041688558,0.002352552,0.048504459
BnaC08G0274700WE,104.4333759,-0.646361676,0.202990942,-3.184189739,0.001451598,0.035017688
BnaC08G0282800WE,60.76685172,1.021618185,0.286534452,3.565428791,0.000363262,0.014169649
BnaC08G0283700WE,447.0234284,-1.013063456,0.277312253,-3.653150718,0.000259042,0.011097376
BnaC08G0288000WE,52.72597795,1.0765496,0.253811753,4.241527772,2.22E-05,0.001902278
BnaC08G0294300WE,6.622394503,3.74362669,1.092446426,3.42682863,0.000610674,0.020151096
BnaC08G0310200WE,112.2621868,0.639546043,0.178799403,3.57689139,0.000347705,0.013747481
BnaC08G0314000WE,76.90522785,0.623737757,0.198362392,3.144435558,0.001664076,0.03857187
BnaC08G0318400WE,209.8386753,-0.576030555,0.155458153,-3.705373711,0.000211079,0.00951933
